Marca temporal,FECHA DE REGISTRO,RESPONSABLE,PROVEEDOR,TIPO DE EQUIPO,MODELOS,Modelo del equipo,numero de serie,MODELO DEL PROCESADOR Y FRECUENCIA EN GHZ,GENERACION,NUCLEOS,SISTEMA OPERATIVO,TOUCH,RAM SOLDADA?,RAM TOTAL DEL EQUIPO PREPARADO,TIPO DE RAM,CAPACIDAD DE EXPANSION RAM [CAPACIDAD DE EXPANSION],CANTITDAD DE SLOTS [CANTIDAD],CANTIDAD [CANTIDAD DE RAM SOLDADA],PULGADAS DEL MONITOR,TIPO DE MONITOR,RESOLUCION,ALMACENAMIENTO [PRINCIPAL],ALMACENAMIENTO [SECUNDARIO],TIPO DE DISCOS [PRINCIPAL],TIPO DE DISCOS [SECUNDARIO],SLOTS ALMACENAMIENTO [SSD],SLOTS ALMACENAMIENTO [M.2],SLOTS ALMACENAMIENTO [M.2 MICRO],SLOTS ALMACENAMIENTO [HDD],SLOTS ALMACENAMIENTO [MSATA],縏IENE PUERTO ETHERNET?,縀S GIGABYTE?,"Puertos  de conectividad
",DISPOSITIVOS DE ENTRADA,IDIOMA DEL TECLADO, [HDMI], [MINI HDMI], [VGA], [DVI], [DISPLAYPORT], [MINI DP], [USB 2.0]," [USB 3,0]", [USB 3.1], [USB 3.2], [USB TIPO C],LECTORES [SD],LECTORES [SC],LECTORES [ESATA],LECTORES [Tarjeta SIM],縏IENE BATERIA?,CANTIDAD DE BATERIAS [CANTIDAD DE BATERIA],CONDICION DE LA BATERIA,TIENE TARJETA  DEDICADA?,MODELO DE TARJETA DEDICADA,Cantidad de VRAM,MODELO DE LA TARJETA INTEGRADA,AREA DE TIENDA,DETALLES ESTETICOS,DETALLES DE FUNCIONAMIENTO,Columna 61,ENTRADAS DE MONITOR [HDMI],ENTRADAS DE MONITOR [VGA],ENTRADAS DE MONITOR [DVI],ENTRADAS DE MONITOR [DISPLAYPORT],ENTRADAS DE MONITOR [USB 2.0],"ENTRADAS DE MONITOR [USB 3,0]",ENTRADAS DE MONITOR [USB 3.1],ENTRADAS DE MONITOR [USB 3.2],ENTRADAS DE MONITOR [USB TIPO C],DETALLES DE FUNCIONAMIENTO,DETALLES ESTETICOS,RAM TOTAL DEL EQUIPO PREPARADO
10/7/2025 17:20:11,07/10/2025,ALEJANDRA,BB,2 EN 1,LENOVO YOGA,Thinkpad X1 3rd Gen,R90TSJH6,i7-8650U 1.90GHz,8TH GEN,4 NUCLEOS,WIN 10 PRO,SI,SI,8GB,LPDDR3,N/A,RAM SOLDADA,8GB,14创,360,1920 x 1080,256GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,NO,,"WIFI, BLUETOOTH","CAMARA WEB, TECLADO RETROILUMINADO",INGLES,1,0,0,0,0,1,0,2,2,0,1,SI,NO,NO,SI,SI,1 INTERNA,BUENA(>60%),NO,,,Intel(R) UHD Graphics 620,,RAYONES CARCASA SUPERIOR,N/A,,,,,,,,,,,,,
10/7/2025 17:23:38,07/10/2025,ALEJANDRA,BB,2 EN 1,LENOVO YOGA,Thinkpad X1 3rd Gen,R90RGJPJ,i7-8650U 1.90GHz,8TH GEN,4 NUCLEOS,WIN 10 PRO,SI,SI,8GB,LPDDR3,N/A,RAM SOLDADA,8GB,14创,360,1920 x 1080,256GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,NO,,"WIFI, BLUETOOTH","CAMARA WEB, TECLADO RETROILUMINADO",INGLES,1,0,0,0,0,1,0,2,2,0,1,SI,NO,NO,SI,SI,1 INTERNA,BUENA(>60%),NO,,,Intel(R) UHD Graphics 620,,RAYONES CARCASA SUPERIOR,N/A,,,,,,,,,,,,,
10/7/2025 17:26:51,07/10/2025,ALEJANDRA,BB,2 EN 1,LENOVO YOGA,Thinkpad X1 3rd Gen,R90SXHDM,i7-8650U 1.90GHz,8TH GEN,4 NUCLEOS,WIN 10 PRO,SI,SI,8GB,LPDDR3,N/A,RAM SOLDADA,8GB,14创,360,1920 x 1080,256GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,NO,,"WIFI, BLUETOOTH","CAMARA WEB, TECLADO RETROILUMINADO",INGLES,1,0,0,0,0,1,0,2,2,0,1,SI,NO,NO,SI,SI,1 INTERNA,BUENA(>60%),NO,,,Intel(R) UHD Graphics 620,,RAYONES CARCASA SUPERIOR,N/A,,,,,,,,,,,,,
10/7/2025 17:30:40,07/10/2025,ALEJANDRA,BB,2 EN 1,LENOVO YOGA,Thinkpad X1 3rd Gen,R90VH5V0,i7-8650U 1.90GHz,8TH GEN,4 NUCLEOS,WIN 10 PRO,SI,SI,8GB,LPDDR3,N/A,RAM SOLDADA,8GB,14创,360,1920 x 1080,256GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,NO,,"WIFI, BLUETOOTH","CAMARA WEB, TECLADO RETROILUMINADO",INGLES,1,0,0,0,0,1,0,2,2,0,1,SI,NO,NO,SI,SI,1 INTERNA,BUENA(>60%),NO,,,Intel(R) UHD Graphics 620,,RAYONES CARCASA SUPERIOR,N/A,,,,,,,,,,,,,
10/7/2025 17:33:53,07/10/2025,ALEJANDRA,BB,2 EN 1,LENOVO YOGA,Thinkpad X1 3rd Gen,R90SLM7D,i7-8650U 1.90GHz,8TH GEN,4 NUCLEOS,WIN 10 PRO,SI,SI,8GB,LPDDR3,N/A,RAM SOLDADA,8GB,14创,360,1920 x 1080,256GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,NO,,"WIFI, BLUETOOTH","CAMARA WEB, TECLADO RETROILUMINADO",INGLES,1,0,0,0,0,1,0,2,0,0,1,SI,NO,NO,SI,SI,1 INTERNA,BUENA(>60%),NO,,,Intel(R) UHD Graphics 620,,RAYONES CARCASA SUPERIOR,N/A,,,,,,,,,,,,,
10/7/2025 17:37:11,07/10/2025,ALEJANDRA,BB,2 EN 1,LENOVO YOGA,Thinkpad X1 3rd Gen,R90SW3LR,i7-8650U 1.90GHz,8TH GEN,4 NUCLEOS,WIN 10 PRO,SI,SI,8GB,LPDDR3,N/A,RAM SOLDADA,8GB,14创,360,1920 x 1080,256GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,NO,,"WIFI, BLUETOOTH","CAMARA WEB, TECLADO RETROILUMINADO",INGLES,1,0,0,0,0,1,0,2,0,0,2,SI,NO,NO,SI,SI,1 INTERNA,BUENA(>60%),NO,,,Intel(R) UHD Graphics 620,,"RAYONES CARCASA SUPERIOR, RAYONES CARCASA INFERIOR",No funciona lector de huellas,,,,,,,,,,,,,
10/7/2025 17:40:07,07/10/2025,ALEJANDRA,BB,2 EN 1,LENOVO YOGA,Thinkpad X1 3rd Gen,R90SXWLQ,i7-8650U 1.90GHz,8TH GEN,4 NUCLEOS,WIN 10 PRO,SI,SI,8GB,LPDDR3,N/A,RAM SOLDADA,8GB,14创,360,1920 x 1080,256GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,NO,,"WIFI, BLUETOOTH","CAMARA WEB, TECLADO RETROILUMINADO",INGLES,1,0,0,0,0,1,0,2,0,0,2,SI,NO,NO,SI,SI,1 INTERNA,BUENA(>60%),NO,,,Intel(R) UHD Graphics 620,,RAYONES CARCASA SUPERIOR,No funciona lector de huellas,,,,,,,,,,,,,
10/7/2025 17:42:57,07/10/2025,ALEJANDRA,BB,2 EN 1,LENOVO YOGA,Thinkpad X1 3rd Gen,R90T46B4,i7-8650U 1.90GHz,8TH GEN,4 NUCLEOS,WIN 10 PRO,SI,SI,8GB,LPDDR3,N/A,RAM SOLDADA,8GB,14创,360,1920 x 1080,256GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,NO,,"WIFI, BLUETOOTH","CAMARA WEB, TECLADO RETROILUMINADO",INGLES,1,0,0,0,0,1,0,2,0,0,2,SI,NO,NO,SI,SI,1 INTERNA,BUENA(>60%),NO,,,Intel(R) UHD Graphics 620,,RAYONES CARCASA SUPERIOR,No funciona lector de huellas,,,,,,,,,,,,,
10/7/2025 17:46:06,07/10/2025,ALEJANDRA,BB,2 EN 1,LENOVO YOGA,Thinkpad X1 3rd Gen,R90SXH34,i7-8650U 1.90GHz,8TH GEN,4 NUCLEOS,WIN 10 PRO,SI,SI,8GB,LPDDR3,N/A,RAM SOLDADA,8GB,14创,360,1920 x 1080,256GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,NO,,"WIFI, BLUETOOTH","CAMARA WEB, TECLADO RETROILUMINADO",INGLES,1,0,0,0,0,1,0,2,0,0,2,SI,NO,NO,SI,SI,1 INTERNA,BUENA(>60%),NO,,,Intel(R) UHD Graphics 620,,RAYONES CARCASA SUPERIOR,No funciona lector de huellas,,,,,,,,,,,,,
10/9/2025 9:31:59,08/10/2025,MARCOS,BB,2 EN 1,LENOVO YOGA,Thinkpad X1 3rd Gen,R90RGJSM,i7-8650U 1.90GHz,8TH GEN,4 NUCLEOS,WIN 10 PRO,SI,SI,8GB,LPDDR3,N/A,RAM SOLDADA,8GB,14创,360,1920 x 1080,256GB,N/A,M.2,N/A,N/A,1,N/A,N/A,N/A,NO,,"WIFI, BLUETOOTH","CAMARA WEB, TECLADO RETROILUMINADO",INGLES,1,0,0,0,0,0,0,2,0,0,2,SI,NO,NO,SI,SI,1 INTERNA,FUNCIONABLE ( 30%),NO,,,Intel(R) UHD Graphics 620,,"MARCAS DE TECLADO EN PANTALLA, RAYONES CARCASA SUPERIOR, RAYONES CARCASA INFERIOR",N/A,,,,,,,,,,,,,
